manuscript_item,manuscript_value,canonical_source,canonical_value,match,comment
Forward verification case count,133,docs/reports/data/convolution_grid_sensitivity_2026-08-26.csv,133,TRUE,Historical Appendix A matrix; distinct from the current 270-case campaign.
Forward verification p95 relative discrepancy,3.6e-5,docs/reports/data/convolution_grid_sensitivity_2026-08-26.csv,3.595558353699866e-05,TRUE,Rounds to 3.6e-5.
Forward verification maximum relative discrepancy,1.4e-4,docs/reports/data/convolution_grid_sensitivity_2026-08-26.csv,1.413462328021509e-04,TRUE,Rounds to 1.4e-4.
TracerLPM paired noisy inversions,480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,480,TRUE,All 480 are paired four-tracer cases and both tools succeeded in all cases.
TracerLPM median common L1 PyAge / TracerLPM,0.179 / 0.181,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,0.1792282359 / 0.1808588247,TRUE,Rounds as stated.
TracerLPM median common L2 PyAge / TracerLPM,0.0135 / 0.0164,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,0.0134959450 / 0.0163958229,TRUE,Rounds as stated.
TracerLPM PyAge lower L2 count,463 / 480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,461 / 480,FALSE,Canonical stabilized campaign mismatch; manuscript revision required.
TracerLPM PyAge lower L1 count,121 / 480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,111 / 480,FALSE,Canonical stabilized campaign mismatch; manuscript revision required.
TracerLPM tau closer PyAge,217 / 480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,208 / 480,FALSE,Absolute-error head-to-head with 1e-12 tie tolerance.
TracerLPM tau closer TracerLPM,263 / 480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,272 / 480,FALSE,No tau ties in the canonical stabilized campaign.
TracerLPM secondary closer PyAge,241 / 480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,204 / 480,FALSE,Canonical stabilized campaign mismatch.
TracerLPM secondary closer TracerLPM,233 / 480,C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_summary.json,233 / 480,TRUE,This one requested count matches.
