element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
14/05/2009	91.19613526	542.3519782	32.07735175
10/11/2009	92.7049961	503.5440173	37.49509701
15/11/2016	138.3076467	597.331833	42.7409485
18/05/2017	130.7314235	590.3288822	38.81422728
09/11/2017	100.7759597	555.0968457	43.45936436
25/05/2018	170.5950784	580.2204867	34.29214751
16/11/2018	114.0719818	616.067684	37.58564428
18/02/2020	143.2702584	383.2264642	39.69803921
23/09/2020	126.2661428	775.8596377	50.41594265
11/05/2021	140.9148573	705.6983563	39.34415355
27/06/2022	180.0133199	588.3162394	27.04613644
08/02/2024	169.8749186	551.4942788	41.78175993
31/10/2024	166.8739637	551.1450435	42.31126005


