# ============================================================================
# 3H (Tritium) Atmospheric Recharge Chronicle
# ============================================================================
#
# Tracer: 3H (Tritium)
# Isotope: 3H or T
# CAS Number: 10028-17-8
# Unit: TU (Tritium Units, 1 TU = 0.118 Bq/L)
#
# Data Source: IAEA/WMO Global Network of Isotopes in Precipitation (GNIP)
# Reference: https://nucleus.iaea.org/wiser
# Citation: IAEA GNIP database
#
# Temporal Coverage: 1957.5 - 2010.0
# Temporal Resolution: 0.5 years (semi-annual)
# Number of Records: 106
#
# Notes:
# - Radioactive isotope of hydrogen
# - Half-life: 12.32 years
# - Large atmospheric peak from thermonuclear weapons testing (1960s)
# - Peak concentration occurred in 1963 (bomb peak)
# - Concentrations have been declining exponentially since peak
# - Natural production from cosmic ray interactions
# - Excellent tracer for modern groundwater (< 60 years old)
#
# Interpolation Method: Linear interpolation recommended
# Extrapolation: Not recommended beyond data range
#
# File Format: CSV (Comma-Separated Values)
# Encoding: UTF-8
# Last Updated: 2024-01-18
# Data Version: v2024.1
#
# Column Descriptions:
#   date: Decimal year (e.g., 2020.5 = July 1, 2020)
#   concentration: Tritium activity in TU
#
# Contact: pyage-support@univ-rennes1.fr
# ============================================================================
date,concentration
1957.5,24
1958.0,135
1958.5,145.5
1959.0,187
1959.5,46.3
1960.0,74.2
1960.5,39.3
1961.0,41.7
1961.5,56.8
1962.0,286
1962.5,208.5
1963.0,1001
1963.5,945
1964.0,815
1964.5,332
1965.0,279
1965.5,1999
1966.0,189
1966.5,142.9
1967.0,96
1967.5,65.9
1968.0,75.7
1968.5,72.8
1969.0,79.2
1969.5,76.7
1970.0,69.5
1970.5,58.9
1971.0,71.9
1971.5,48.6
1972.0,34.9
1972.5,34.52
1973.0,28.8
1973.5,26.3
1974.0,69.6
1974.5,24.6
1975.0,21.3
1975.5,22.3
1976.0,16
1976.5,18.3
1977.0,19.28
1977.5,20.8
1978.0,26.64
1978.5,17
1979.0,15.6
1979.5,12.9
1980.0,13.6
1980.5,11.6
1981.0,17
1981.5,10
1982.0,7.8
1982.5,8.4
1983.0,7.6
1983.5,9.5
1984.0,8.34
1984.5,9.55
1985.0,9.2
1985.5,10.2
1986.0,8.1
1986.5,6.54
1987.0,7.5
1987.5,6.04
1988.0,7.7
1988.5,5.8
1989.0,4.8
1989.5,5.6
1990.0,4.5
1990.5,5.8
1991.0,4.8
1991.5,5.6
1992.0,5.35
1992.5,4.4
1993.0,4.8
1993.5,5.4
1994.0,4.9
1994.5,4.7
1995.0,4.5
1995.5,5.5
1996.0,4.1
1996.5,3.7
1997.0,4.6
1997.5,4.2
1998.0,4.5
1998.5,3.4
1999.0,4.1
1999.5,3.8
2000.0,3.7
2000.5,3.3
2001.0,4.1
2001.5,3.02
2002.0,2.9
2002.5,3.3
2003.0,3.25
2003.5,3.2
2004.0,3.15
2004.5,3.1
2005.0,3.05
2005.5,3
2006.0,2.95
2006.5,2.9
2007.0,2.85
2007.5,2.8
2008.0,2.75
2008.5,2.7
2009.0,2.65
2009.5,2.6
2010.0,2.55
