# ============================================================================
# SF6 (Sulfur Hexafluoride) Atmospheric Recharge Chronicle
# ============================================================================
#
# Tracer: SF6
# Chemical Formula: SF6
# CAS Number: 2551-62-4
# Unit: pptv (parts per trillion by volume)
#
# Data Source: NOAA Global Monitoring Laboratory (1995+); legacy PyAges/TracerLPM reconstruction before 1995
# Reference: https://gml.noaa.gov/hats/combined/SF6.html
# Citation: Dutton et al. (2023), https://doi.org/10.15138/TQ02-ZX42
#
# Temporal Coverage: 1940.0 - 2023.0
# Temporal Resolution: 0.5 years (semi-annual)
# Number of Records: 167
#
# Notes:
# - Entirely anthropogenic, no natural sources
# - Extremely stable in atmosphere (lifetime ~3200 years)
# - Used in electrical equipment and as tracer gas
# - Concentrations continuously increasing since 1950s
# - 1995+ values are NOAA GML global monthly means sampled at Jan/Jul (semi-annual)
# - Pre-1995 values retained from the legacy PyAges/TracerLPM reconstruction
# - No direct AGAGE-derived values are identified in the current provenance of this file
# - Latest NOAA combined file date used here: 2023-04-13
# - Growth rate approximately exponential until 1990s
# - Recent growth rate has slowed but remains positive
# - Excellent tracer for very young groundwater (< 30 years)
#
# Interpolation Method: Linear interpolation recommended
# Extrapolation: Not recommended beyond data range
#
# File Format: CSV (Comma-Separated Values)
# Encoding: UTF-8
# Last Updated: 2023-04-13
# Data Version: v2023.04.13
#
# Column Descriptions:
#   date: Decimal year (e.g., 2020.5 = July 1, 2020)
#   concentration: Atmospheric mole fraction in pptv
#
# Contact: https://github.com/dreuzy/PyAges/discussions
# ============================================================================
date,concentration
1940.0,0.05
1940.5,0.05
1941.0,0.05
1941.5,0.05
1942.0,0.05
1942.5,0.05
1943.0,0.05
1943.5,0.05
1944.0,0.05
1944.5,0.05
1945.0,0.05
1945.5,0.05
1946.0,0.05
1946.5,0.05
1947.0,0.05
1947.5,0.05
1948.0,0.05
1948.5,0.05
1949.0,0.05
1949.5,0.05
1950.0,0.05
1950.5,0.05
1951.0,0.05
1951.5,0.05
1952.0,0.05
1952.5,0.05
1953.0,0.05
1953.5,0.05
1954.0,0.06
1954.5,0.06
1955.0,0.06
1955.5,0.06
1956.0,0.06
1956.5,0.06
1957.0,0.06
1957.5,0.06
1958.0,0.06
1958.5,0.06
1959.0,0.06
1959.5,0.06
1960.0,0.07
1960.5,0.07
1961.0,0.07
1961.5,0.08
1962.0,0.08
1962.5,0.08
1963.0,0.09
1963.5,0.1
1964.0,0.1
1964.5,0.11
1965.0,0.12
1965.5,0.13
1966.0,0.14
1966.5,0.15
1967.0,0.16
1967.5,0.18
1968.0,0.19
1968.5,0.2
1969.0,0.21
1969.5,0.22
1970.0,0.23
1970.5,0.25
1971.0,0.26
1971.5,0.27
1972.0,0.28
1972.5,0.3
1973.0,0.32
1973.5,0.34
1974.0,0.36
1974.5,0.39
1975.0,0.42
1975.5,0.45
1976.0,0.48
1976.5,0.52
1977.0,0.55
1977.5,0.59
1978.0,0.63
1978.5,0.68
1979.0,0.73
1979.5,0.77
1980.0,0.83
1980.5,0.88
1981.0,0.94
1981.5,0.99
1982.0,1.05
1982.5,1.12
1983.0,1.18
1983.5,1.25
1984.0,1.32
1984.5,1.39
1985.0,1.47
1985.5,1.54
1986.0,1.62
1986.5,1.7
1987.0,1.79
1987.5,1.87
1988.0,1.96
1988.5,2.05
1989.0,2.15
1989.5,2.24
1990.0,2.34
1990.5,2.44
1991.0,2.54
1991.5,2.65
1992.0,2.77
1992.5,2.88
1993.0,2.99
1993.5,3.1
1994.0,3.22
1994.5,3.33
1995.0,3.334
1995.5,3.453
1996.0,3.622
1996.5,3.706
1997.0,3.871
1997.5,3.981
1998.0,4.096
1998.5,4.193
1999.0,4.318
1999.5,4.379
2000.0,4.487
2000.5,4.596
2001.0,4.691
2001.5,4.778
2002.0,4.908
2002.5,4.992
2003.0,5.116
2003.5,5.228
2004.0,5.349
2004.5,5.460
2005.0,5.572
2005.5,5.673
2006.0,5.824
2006.5,5.907
2007.0,6.064
2007.5,6.187
2008.0,6.347
2008.5,6.478
2009.0,6.644
2009.5,6.757
2010.0,6.934
2010.5,7.069
2011.0,7.206
2011.5,7.329
2012.0,7.483
2012.5,7.615
2013.0,7.789
2013.5,7.936
2014.0,8.096
2014.5,8.268
2015.0,8.454
2015.5,8.590
2016.0,8.761
2016.5,8.935
2017.0,9.117
2017.5,9.258
2018.0,9.464
2018.5,9.620
2019.0,9.816
2019.5,9.964
2020.0,10.143
2020.5,10.286
2021.0,10.477
2021.5,10.669
2022.0,10.882
2022.5,11.051
2023.0,11.287
