Date	85Kr [Bq/cbm air]	Kr85_error [Bq/cbm air]
15-06-73	0.6128	0.018384
03-07-73	0.5818	0.017454
19-10-73	0.5966	0.017898
26-10-73	0.5654	0.016962
01-12-73	0.5796	0.017388
11-12-73	0.5953	0.017859
21-12-73	0.5615	0.016845
14-01-74	0.5624	0.016872
25-01-74	0.6216	0.018648
31-01-74	0.5709	0.017127
11-02-74	0.5846	0.017538
18-02-74	0.5966	0.017898
26-02-74	0.5552	0.016656
04-03-74	0.5525	0.016575
13-03-74	0.553	0.01659
21-03-74	0.5651	0.016953
29-03-74	0.5649	0.016947
04-04-74	0.5634	0.016902
22-04-74	0.564	0.01692
27-04-74	0.5924	0.017772
02-05-74	0.6018	0.018054
11-05-74	0.5543	0.016629
15-05-74	0.5664	0.016992
21-05-74	0.6656	0.019968
27-05-74	0.6394	0.019182
01-06-74	0.6327	0.018981
07-06-74	0.5723	0.017169
14-06-74	0.6061	0.018183
20-06-74	0.6042	0.018126
02-07-74	0.6072	0.018216
11-07-74	0.6721	0.020163
20-07-74	0.5728	0.017184
25-07-74	0.568	0.01704
02-09-74	0.5453	0.016359
10-09-74	0.5994	0.017982
23-09-74	0.6555	0.019665
08-10-74	0.6414	0.019242
21-10-74	0.696	0.02088
02-11-74	0.6217	0.018651
14-11-74	0.5959	0.017877
21-11-74	0.6031	0.018093
28-11-74	0.6253	0.018759
09-12-74	0.6555	0.019665
16-12-74	0.6295	0.018885
27-12-74	0.6088	0.018264
24-01-75	0.7309	0.021927
03-02-75	0.6203	0.018609
10-02-75	0.5906	0.017718
14-02-75	1.05	0.0315
21-02-75	0.6359	0.019077
26-02-75	0.6479	0.019437
05-03-75	0.8206	0.024618
14-03-75	0.6234	0.018702
24-03-75	0.7303	0.021909
27-03-75	0.7134	0.021402
08-04-75	0.6545	0.019635
11-04-75	0.8303	0.024909
21-04-75	0.5994	0.017982
28-04-75	0.6629	0.019887
07-05-75	0.6797	0.020391
13-05-75	0.6087	0.018261
16-05-75	0.6794	0.020382
22-05-75	0.7239	0.021717
03-06-75	0.6669	0.020007
06-06-75	0.6612	0.019836
16-06-75	0.626	0.01878
23-06-75	0.5884	0.017652
30-06-75	0.6033	0.018099
07-07-75	0.5806	0.017418
11-07-75	0.616	0.01848
18-07-75	0.6407	0.019221
24-07-75	0.6536	0.019608
