ID	Top_m	Bottom_m	Production_m3d	Date	DeltaNe_pct	Kr85_dpm_ccKr	Kr85_err	3H_TU	3H_err	3He_trit_TU	3He_err	Ar39_pMC	Ar39_err	He4_terr	He4	delta2H	delta18O	Kr85_age	Kr85_age_err	H3_He_age	H3_He_age_err	Ar39_age	Ar39_age_err
59-05	19	30	800	20-04-10	-7	38	1.2	6.48	0.14	21.1	NA	100	10	0	NA	-48.54	-7.35	12	0.3	25.7	NA	0	39
61-08	13	32	67	20-04-10	-23	NA	NA	7.4	0.15	27.4	NA	NA	NA	0	NA	NA	NA	NA	NA	27.5	NA	NA	NA
67-19	14	23	530	21-04-10	26	39.7	1.5	6.09	0.15	6.4	0.5	104	8	0.1	0.33	-48.98	-7.41	12	0.3	12.7	0.8	0	30
71-20	21	30	530	20-04-10	19	NA	NA	6.16	0.15	19.5	0.5	NA	NA	0	0.35	NA	NA	NA	NA	25.4	0.5	NA	NA
72-22	15	34	530	20-04-10	20	35.9	1.3	6.75	0.16	14	0.5	93	6	0	0.34	-47.71	-7.24	13	0.4	20	0.5	28	25
72-27	13	28	530	20-04-10	-22	NA	NA	6.44	0.23	25.3	NA	NA	NA	0	NA	NA	NA	NA	NA	28.3	NA	NA	NA
73-29	16	31	800	20-04-10	13	39.4	1.6	6.38	0.16	8.7	0.5	100	10	0	0.34	-48.25	-7.26	12	0.4	15.3	0.7	0	39
85-33	46	68	800	20-04-10	17	2.7	0.2	1.23	0.05	9.2	0.5	51	8	11	0.35	-48.62	-7.18	39	0.8	38	1.1	261	61
85-34	48	74	800	21-04-10	6	8.4	0.5	3.98	0.11	21.1	0.5	77	7	6.6	0.36	-49.2	-7.35	27	0.4	32.7	0.6	101	35
85-35	45	75	800	21-04-10	16	8.7	0.3	3.82	0.11	20.4	0.5	74	6	4.5	0.36	-49.11	-7.34	27	0.3	32.8	0.6	117	31
85-36	37	46	800	20-04-10	5	NA	NA	5.98	0.15	23.6	0.5	NA	NA	0	0.35	NA	NA	NA	NA	28.4	0.5	NA	NA
