well_id	element	concentration	error	unit	date
59-05	3H	6.48	0.14	TU	2010.29863
59-05	kr85	38.0	1.2	dpm/ccKr	2010.29863
59-05	39Ar	1.0	0.1	fraction_modern	2010.29863
67-19	3H	6.09	0.15	TU	2010.30137
67-19	kr85	39.7	1.5	dpm/ccKr	2010.30137
67-19	39Ar	1.04	0.08	fraction_modern	2010.30137
72-22	3H	6.75	0.16	TU	2010.29863
72-22	kr85	35.9	1.3	dpm/ccKr	2010.29863
72-22	39Ar	0.93	0.06	fraction_modern	2010.29863
73-29	3H	6.38	0.16	TU	2010.29863
73-29	kr85	39.4	1.6	dpm/ccKr	2010.29863
73-29	39Ar	1.0	0.1	fraction_modern	2010.29863
85-33	3H	1.23	0.05	TU	2010.29863
85-33	kr85	2.7	0.2	dpm/ccKr	2010.29863
85-33	39Ar	0.51	0.08	fraction_modern	2010.29863
85-34	3H	3.98	0.11	TU	2010.30137
85-34	kr85	8.4	0.5	dpm/ccKr	2010.30137
85-34	39Ar	0.77	0.07	fraction_modern	2010.30137
85-35	3H	3.82	0.11	TU	2010.30137
85-35	kr85	8.7	0.3	dpm/ccKr	2010.30137
85-35	39Ar	0.74	0.06	fraction_modern	2010.30137
