model,age,85-33,85-35,85-34,67-19,59-05,72-22,73-29
3-bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-bins,30.0,0.08475,0.2655,0.2881,0.9379,0.9379,0.9831,0.9831
3-bins,60.0,0.1017,0.322,0.3503,0.9379,0.9661,0.9943,0.9943
4-bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-bins,20.0,0.0452,0.1525,0.1412,0.8814,0.8023,0.7571,0.8588
4-bins,40.0,0.1017,0.3672,0.3842,0.904,0.8023,0.904,0.9209
4-bins,60.0,0.1186,0.3729,0.3898,0.904,0.8475,0.904,0.9209
5-bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-bins,15.0,0.0339,0.0791,0.05085,0.6836,0.6384,0.5311,0.6102
5-bins,30.0,0.09605,0.3785,0.4124,0.9096,0.8079,0.9548,0.9718
5-bins,45.0,0.1073,0.4237,0.4407,0.9096,0.8136,0.9661,0.9718
5-bins,60.0,0.1073,0.4181,0.4463,0.9096,0.8757,0.9718,0.9774
9-bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-bins,7.5,0.005682,0.005682,0.005682,0.2443,0.2898,0.3068,0.2727
9-bins,15.0,0.05682,0.0625,0.01705,0.642,0.5625,0.5341,0.5966
9-bins,22.5,0.06818,0.2614,0.2898,0.983,0.9943,0.7159,0.9034
9-bins,30.0,0.06818,0.4886,0.5227,0.9886,1.0,0.8693,0.9886
9-bins,37.5,0.108,0.4886,0.5227,0.9886,1.0,0.9375,0.9943
9-bins,45.0,0.108,0.4886,0.5227,0.9886,1.0,0.9375,0.9943
9-bins,52.5,0.108,0.5057,0.5341,0.9886,1.0,0.9432,0.9943
9-bins,60.0,0.1648,0.6136,0.6705,0.9886,1.0,0.9432,1.0
