element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
07/09/2009	3.553153161	40.80018707	2.816533109
10/11/2009	0.457603059	49.20625576	9.153732604
18/04/2016	4.837671864	52.48667281	5.427107234
15/11/2016	4.32270739	42.64124363	5.981327969
18/05/2017	2.498009096	58.14426684	10.79964823
08/11/2017	2.806192212	40.95946233	13.90685101
24/05/2018	15.49313108	84.92154676	11.60027776
15/11/2018	10.07639586	44.03809678	9.345982628
18/02/2020	26.33878865	47.23169502	9.316763606
24/09/2020	11.86860827	91.17577483	12.54648144
11/05/2021	2.082645983	16.68012203	2.367325908
29/06/2022	7.855578339	12.07572673	3.026124503
08/02/2024	3.513125353	3.719521381	4.92136942
31/10/2024	15.26507331	17.01316111	11.93614917

