date	c(TU)
1957.5	24
1958	135
1958.5	145.5
1959	187
1959.5	46.3
1960	74.2
1960.5	39.3
1961	41.7
1961.5	56.8
1962	286
1962.5	208.5
1963	1001
1963.5	945
1964	815
1964.5	332
1965	279
1965.5	1999
1966	189
1966.5	142.9
1967	96
1967.5	65.9
1968	75.7
1968.5	72.8
1969	79.2
1969.5	76.7
1970	69.5
1970.5	58.9
1971	71.9
1971.5	48.6
1972	34.9
1972.5	34.52
1973	28.8
1973.5	26.3
1974	69.6
1974.5	24.6
1975	21.3
1975.5	22.3
1976	16
1976.5	18.3
1977	19.28
1977.5	20.8
1978	26.64
1978.5	17
1979	15.6
1979.5	12.9
1980	13.6
1980.5	11.6
1981	17
1981.5	10
1982	7.8
1982.5	8.4
1983	7.6
1983.5	9.5
1984	8.34
1984.5	9.55
1985	9.2
1985.5	10.2
1986	8.1
1986.5	6.54
1987	7.5
1987.5	6.04
1988	7.7
1988.5	5.8
1989	4.8
1989.5	5.6
1990	4.5
1990.5	5.8
1991	4.8
1991.5	5.6
1992	5.35
1992.5	4.4
1993	4.8
1993.5	5.4
1994	4.9
1994.5	4.7
1995	4.5
1995.5	5.5
1996	4.1
1996.5	3.7
1997	4.6
1997.5	4.2
1998	4.5
1998.5	3.4
1999	4.1
1999.5	3.8
2000	3.7
2000.5	3.3
2001	4.1
2001.5	3.02
2002	2.9
2002.5	3.3
2003	3.25
2003.5	3.2
2004	3.15
2004.5	3.1
2005	3.05
2005.5	3
2006	2.95
2006.5	2.9
2007	2.85
2007.5	2.8
2008	2.75
2008.5	2.7
2009	2.65
2009.5	2.6
2010	2.55
