# ============================================================================
# CFC-11 (Trichlorofluoromethane) Atmospheric Recharge Chronicle
# ============================================================================
#
# Tracer: CFC-11
# Chemical Formula: CCl3F
# CAS Number: 75-69-4
# Unit: pptv (parts per trillion by volume)
#
# Data Source: NOAA Global Monitoring Laboratory
# Reference: https://gml.noaa.gov/hats/combined/CFC11.html
# Citation: Elkins et al. (1993), Montzka et al. (1996)
#
# Temporal Coverage: 1940.0 - 2024.5
# Temporal Resolution: 0.5 years (semi-annual)
# Number of Records: 170
#
# Notes:
# - Pre-1978 data are reconstructed from industrial production records
# - Post-1978 data are from direct atmospheric measurements
# - CFC-11 production was phased out under the Montreal Protocol (1987)
# - Atmospheric concentrations peaked in 1993-1994
# - Current decline rate: ~1% per year
#
# Interpolation Method: Linear interpolation recommended
# Extrapolation: Not recommended beyond data range
#
# File Format: CSV (Comma-Separated Values)
# Encoding: UTF-8
# Last Updated: 2024-01-15
# Data Version: v2024.1
#
# Column Descriptions:
#   date: Decimal year (e.g., 2020.5 = July 1, 2020)
#   concentration: Atmospheric mole fraction in pptv
#
# Quality Flags:
#   - Values < 1 pptv: Reconstructed from production data
#   - Values >= 1 pptv: Measurement-based or model-constrained
#
# Contact: pyage-support@univ-rennes1.fr
# ============================================================================
date,concentration
1940.0,0.01
1940.5,0.01
1941.0,0.02
1941.5,0.02
1942.0,0.02
1942.5,0.02
1943.0,0.03
1943.5,0.03
1944.0,0.04
1944.5,0.04
1945.0,0.05
1945.5,0.05
1946.0,0.07
1946.5,0.08
1947.0,0.11
1947.5,0.14
1948.0,0.20
1948.5,0.25
1949.0,0.34
1949.5,0.42
1950.0,0.55
1950.5,0.67
1951.0,0.85
1951.5,1.02
1952.0,1.27
1952.5,1.52
1953.0,1.87
1953.5,2.20
1954.0,2.63
1954.5,3.04
1955.0,3.56
1955.5,4.07
1956.0,4.71
1956.5,5.35
1957.0,6.06
1957.5,6.77
1958.0,7.42
1958.5,8.06
1959.0,8.72
1959.5,9.37
1960.0,10.20
1960.5,11.10
1961.0,12.20
1961.5,13.30
1962.0,14.80
1962.5,16.20
1963.0,17.90
1963.5,19.70
1964.0,21.70
1964.5,23.60
1965.0,25.90
1965.5,28.20
1966.0,30.80
1966.5,33.40
1967.0,36.50
1967.5,39.60
1968.0,43.00
1968.5,46.50
1969.0,50.40
1969.5,54.30
1970.0,58.60
1970.5,63.00
1971.0,67.80
1971.5,72.70
1972.0,77.90
1972.5,83.20
1973.0,88.90
1973.5,94.60
1974.0,100.70
1974.5,106.80
1975.0,113.20
1975.5,119.70
1976.0,126.50
1976.5,133.40
1977.0,140.50
1977.5,147.60
1978.0,154.90
1978.5,162.20
1979.0,169.50
1979.5,176.90
1980.0,184.30
1980.5,191.60
1981.0,198.70
1981.5,205.70
1982.0,212.40
1982.5,219.00
1983.0,225.20
1983.5,231.30
1984.0,237.00
1984.5,242.60
1985.0,247.70
1985.5,252.70
1986.0,257.20
1986.5,261.60
1987.0,265.50
1987.5,269.30
1988.0,272.60
1988.5,275.80
1989.0,278.40
1989.5,280.90
1990.0,282.90
1990.5,284.80
1991.0,286.20
1991.5,287.50
1992.0,288.30
1992.5,289.00
1993.0,289.20
1993.5,289.30
1994.0,288.90
1994.5,288.40
1995.0,287.50
1995.5,286.50
1996.0,285.00
1996.5,283.40
1997.0,281.40
1997.5,279.30
1998.0,276.80
1998.5,274.20
1999.0,271.30
1999.5,268.30
2000.0,265.00
2000.5,261.60
2001.0,258.00
2001.5,254.30
2002.0,250.40
2002.5,246.40
2003.0,242.30
2003.5,238.10
2004.0,233.90
2004.5,229.60
2005.0,242.72
2005.5,242.36
2006.0,241.88
2006.5,241.30
2007.0,240.62
2007.5,239.88
2008.0,239.07
2008.5,238.23
2009.0,237.36
2009.5,236.48
2010.0,235.59
2010.5,234.69
2011.0,233.79
2011.5,232.90
2012.0,232.02
2012.5,231.14
2013.0,234.45
2013.5,234.02
2014.0,233.52
2014.5,232.98
2015.0,232.40
2015.5,231.85
2016.0,231.54
2016.5,231.28
2017.0,230.61
2017.5,230.45
2018.0,229.85
2018.5,229.19
2019.0,228.25
2019.5,226.79
2020.0,225.47
2020.5,224.28
2021.0,223.57
2021.5,222.43
2022.0,221.062
2022.5,219.971
2023.0,218.876
2023.5,217.743
2024.0,216.431
2024.5,214.594
