date	c(pptv)
1940	0.34
1940.5	0.4
1941	0.48
1941.5	0.56
1942	0.66
1942.5	0.76
1943	0.88
1943.5	1.01
1944	1.18
1944.5	1.34
1945	1.56
1945.5	1.77
1946	2.15
1946.5	2.53
1947	3.11
1947.5	3.7
1948	4.37
1948.5	5.04
1949	5.76
1949.5	6.48
1950	7.28
1950.5	8.07
1951	8.93
1951.5	9.8
1952	10.7
1952.5	11.6
1953	12.6
1953.5	13.6
1954	14.7
1954.5	15.9
1955	17.1
1955.5	18.4
1956	19.9
1956.5	21.4
1957	23.1
1957.5	24.7
1958	26.5
1958.5	28.3
1959	30.2
1959.5	32.2
1960	34.5
1960.5	36.9
1961	39.5
1961.5	42.1
1962	45.1
1962.5	48.1
1963	51.6
1963.5	55.1
1964	59.2
1964.5	63.3
1965	67.9
1965.5	72.5
1966	77.6
1966.5	82.8
1967	88.5
1967.5	94.3
1968	100.7
1968.5	107.2
1969	114.4
1969.5	121.5
1970	129.3
1970.5	137.2
1971	145.5
1971.5	153.9
1972	162.9
1972.5	172
1973	182
1973.5	192.1
1974	202.9
1974.5	213.7
1975	224
1975.5	234.3
1976	244.2
1976.5	254
1977	263.3
1977.5	272.5
1978	275.371
1978.5	284.625
1979	289.132
1979.5	294.5
1980	309.521
1980.5	313.731
1981	317.083
1981.5	329.795
1982	337.717
1982.5	342.364
1983	352.016
1983.5	359.505
1984	370.221
1984.5	375.556
1985	384.712
1985.5	388.187
1986	403.585
1986.5	408.161
1987	421.194
1987.5	427.567
1988	446.596
1988.5	456.565
1989	468.257
1989.5	474.388
1990	487.699
1990.5	489.95
1991	496.011
1991.5	500.521
1992	507.774
1992.5	512.7
1993	515.243
1993.5	517.771
1994	520
1994.5	520.954
1995	525.834
1995.5	527.361
1996	532.33
1996.5	532.234
1997	535.55
1997.5	535.362
1998	538.816
1998.5	539.481
1999	541.444
1999.5	541.609
2000	543.582
2000.5	544.486
2001	545.007
2001.5	544.669
2002	545.841
2002.5	545.19
2003	545.497
2003.5	544.22
2004	544.798
2004.5	544.027
2005	543.663
2005.5	542.826
2006	543.135
2006.5	541.504
2007	540.537
2007.5	538.799
2008	537.818
2008.5	536.216
2009	535.94
2009.5	533.765
2010	532.538
2010.5	530.95
2011	530.02
2011.5	528.36
2012	527.24
2012.5	525.07
2013	524.23
2013.5	522.79
2014	521.30
2014.5	520.10
2015	519.40
2015.5	517.40
2016	514.00
2016.5	511.44
2017	510.00
2017.5	508.17
2018	507.00
2018.5	504.7
2019	503.19
2019.5	500.47
2020	498.73
2020.5	496.67
2021	495.46
2021.5	493.42
2022	491.994
2022.5	489.73
2023	487.376
2023.5	485.519
2024	483.432
2024.5	480.813
