date	c(pptv)
1950	0.0001
1951	0.0001
1952	0.0001
1953	0.1
1954	0.3
1955	0.9
1956	1.9
1957	3.3
1958	5.2
1959	7.3
1960	9.7
1961	12.1
1962	14.6
1963	17
1964	19.2
1965	21.4
1966	23.4
1967	25.2
1968	26.8
1969	28.2
1970	29.5
1971	30.7
1972	31.6
1973	31.5
1974	33.6
1975	33.8
1976	33.8
1977	35.7
1978	38.9
1979	38.8
1980	40.6
1981	42.2
1982	43
1983	46.2
1984	50.2
1985	51.8
1986	54.1
1987	52.7
1988	56.3
1989	56.5
1990	60.3
1991	57.5
1992	61.8
1993	67.2
1994	75.6
1995	71
1996	74.9
1997	76.4
1998	81.7
1999	85
2000	85
2001	85
2002	85
2003	85
2004	85
2005	85
2006	85
2007	85
2008	85
2009	85
2010	85
