date	c(pptv)
1940	0.05
1940.5	0.05
1941	0.05
1941.5	0.05
1942	0.05
1942.5	0.05
1943	0.05
1943.5	0.05
1944	0.05
1944.5	0.05
1945	0.05
1945.5	0.05
1946	0.05
1946.5	0.05
1947	0.05
1947.5	0.05
1948	0.05
1948.5	0.05
1949	0.05
1949.5	0.05
1950	0.05
1950.5	0.05
1951	0.05
1951.5	0.05
1952	0.05
1952.5	0.05
1953	0.05
1953.5	0.05
1954	0.06
1954.5	0.06
1955	0.06
1955.5	0.06
1956	0.06
1956.5	0.06
1957	0.06
1957.5	0.06
1958	0.06
1958.5	0.06
1959	0.06
1959.5	0.06
1960	0.07
1960.5	0.07
1961	0.07
1961.5	0.08
1962	0.08
1962.5	0.08
1963	0.09
1963.5	0.1
1964	0.1
1964.5	0.11
1965	0.12
1965.5	0.13
1966	0.14
1966.5	0.15
1967	0.16
1967.5	0.18
1968	0.19
1968.5	0.2
1969	0.21
1969.5	0.22
1970	0.23
1970.5	0.25
1971	0.26
1971.5	0.27
1972	0.28
1972.5	0.3
1973	0.32
1973.5	0.34
1974	0.36
1974.5	0.39
1975	0.42
1975.5	0.45
1976	0.48
1976.5	0.52
1977	0.55
1977.5	0.59
1978	0.63
1978.5	0.68
1979	0.73
1979.5	0.77
1980	0.83
1980.5	0.88
1981	0.94
1981.5	0.99
1982	1.05
1982.5	1.12
1983	1.18
1983.5	1.25
1984	1.32
1984.5	1.39
1985	1.47
1985.5	1.54
1986	1.62
1986.5	1.7
1987	1.79
1987.5	1.87
1988	1.96
1988.5	2.05
1989	2.15
1989.5	2.24
1990	2.34
1990.5	2.44
1991	2.54
1991.5	2.65
1992	2.77
1992.5	2.88
1993	2.99
1993.5	3.1
1994	3.22
1994.5	3.33
1995	3.411
1995.5	3.552
1996	3.73
1996.5	3.848
1997	3.967
1997.5	4.052
1998	4.186
1998.5	4.29
1999	4.448
1999.5	4.503
2000	4.629
2000.5	4.702
2001	4.819
2001.5	4.912
2002	5.043
2002.5	5.129
2003	5.262
2003.5	5.363
2004	5.506
2004.5	5.59
2005	5.689
2005.5	5.806
2006	5.954
2006.5	6.049
2007	6.197
2007.5	6.323
2008	6.475
2008.5	6.602
2009	6.77
2009.5	6.865
2010	7.04
2010.5	7.18
2011	7.32
2011.5	7.45
2012	7.63
2012.5	7.74
2013	7.94
2013.5	8.07
2014	8.25
2014.5	8.40
2015	8.56
2015.5	8.90
2016	9.03
2016.5	9.20
2017	9.37
2017.5	9.53
2018	9.69
2018.5	9.85
2019	10.05
2019.5	10.22
2020	10.36
2020.5	10.52

